macro_frame,sim_time,t1w_utc,t2_utc,t3_utc,t_force_utc,seq_ok
0,0.000000,1781244056.862536430,1781244056.862807512,1781244056.940563917,1781244056.940571308,1
1,0.020000,1781244056.961319208,1781244056.961596251,1781244057.059956074,1781244057.059963465,1
2,0.040000,1781244057.078161716,1781244057.078478575,1781244057.191697121,1781244057.191703081,1
3,0.060000,1781244057.211522818,1781244057.211851120,1781244057.324939251,1781244057.324946404,1
4,0.080000,1781244057.344980001,1781244057.345343113,1781244057.459274292,1781244057.459280014,1
5,0.100000,1781244057.478403807,1781244057.478800297,1781244057.597608805,1781244057.597616434,1
6,0.120000,1781244057.611983538,1781244057.612567902,1781244057.729130268,1781244057.729136467,1
7,0.140000,1781244057.745425701,1781244057.746045113,1781244057.859965086,1781244057.859972715,1
8,0.160000,1781244057.878815413,1781244057.879464865,1781244057.993503094,1781244057.993509054,1
9,0.180000,1781244058.012267351,1781244058.012737274,1781244058.125684500,1781244058.125691891,1
10,0.200000,1781244058.145689249,1781244058.146409988,1781244058.261312246,1781244058.261318445,1
11,0.220000,1781244058.362793684,1781244058.363338232,1781244058.477846384,1781244058.477853775,1
12,0.240000,1781244058.495998383,1781244058.496546507,1781244058.609528780,1781244058.609534502,1
13,0.260000,1781244058.629374504,1781244058.629956007,1781244058.750725746,1781244058.750733852,1
14,0.280000,1781244058.762974977,1781244058.763951302,1781244058.877835989,1781244058.877841949,1
15,0.300000,1781244058.896492004,1781244058.897124290,1781244059.015204191,1781244059.015212297,1
16,0.320000,1781244059.029674530,1781244059.030304193,1781244059.143892527,1781244059.143899202,1
17,0.340000,1781244059.163275003,1781244059.163920641,1781244059.276900530,1781244059.276907921,1
18,0.360000,1781244059.296717167,1781244059.297408342,1781244059.410210609,1781244059.410216331,1
19,0.380000,1781244059.430077553,1781244059.431148291,1781244059.546224356,1781244059.546232224,1
20,0.400000,1781244059.563711643,1781244059.564663649,1781244059.677947998,1781244059.677953720,1
21,0.420000,1781244059.696990252,1781244059.698065042,1781244059.810263157,1781244059.810270309,1
22,0.440000,1781244059.830448151,1781244059.831622839,1781244059.948621511,1781244059.948627949,1
23,0.460000,1781244059.963835716,1781244059.964643240,1781244060.077967882,1781244060.077975512,1
24,0.480000,1781244060.097251892,1781244060.098067045,1781244060.213312149,1781244060.213318348,1
25,0.500000,1781244060.230726719,1781244060.231554031,1781244060.343256235,1781244060.343264341,1
26,0.520000,1781244060.365420580,1781244060.366451979,1781244060.480802774,1781244060.480808735,1
27,0.540000,1781244060.497658968,1781244060.498547554,1781244060.610886812,1781244060.610895634,1
28,0.560000,1781244060.631075382,1781244060.631961107,1781244060.745267391,1781244060.745273113,1
29,0.580000,1781244060.764525175,1781244060.765460491,1781244060.878377199,1781244060.878384590,1
30,0.600000,1781244060.898133755,1781244060.899093390,1781244061.011609793,1781244061.011616230,1
31,0.620000,1781244061.031403065,1781244061.032524824,1781244061.144173622,1781244061.144181252,1
32,0.640000,1781244061.164843559,1781244061.165847540,1781244061.278826237,1781244061.278833866,1
33,0.660000,1781244061.298239470,1781244061.299742937,1781244061.414294481,1781244061.414303064,1
34,0.680000,1781244061.431869984,1781244061.432894230,1781244061.545568943,1781244061.545574665,1
35,0.700000,1781244061.565131426,1781244061.566206217,1781244061.678627014,1781244061.678635120,1
36,0.720000,1781244061.698671818,1781244061.700341225,1781244061.813578129,1781244061.813584566,1
37,0.740000,1781244061.832281590,1781244061.833480120,1781244061.945598364,1781244061.945605516,1
38,0.760000,1781244061.965590954,1781244061.966816664,1781244062.082484245,1781244062.082490206,1
39,0.780000,1781244062.098956108,1781244062.100109577,1781244062.212101221,1781244062.212108850,1
40,0.800000,1781244062.232502460,1781244062.233780622,1781244062.346333742,1781244062.346338987,1
41,0.820000,1781244062.365823507,1781244062.367055655,1781244062.479061365,1781244062.479069233,1
42,0.840000,1781244062.499292374,1781244062.500500917,1781244062.612897873,1781244062.612903833,1
43,0.860000,1781244062.632795095,1781244062.634047031,1781244062.746682405,1781244062.746690512,1
