macro_frame,sim_time,logical_name,object_id,data_type,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz
0,0.000000,base,base_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
0,0.000000,base,base_body_p,POSITION,0,-0,0.150000006,1,0,0,0,,,,,,
0,0.000000,base,base_body_v,VELOCITY,,,,,,,,0,0,0,0,0,0
0,0.000000,base,base_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
0,0.000000,gripper_l_palm,gripper_l_palm_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
0,0.000000,gripper_l_palm,gripper_l_palm_body_p,POSITION,-0.460000008,-0,0.709999979,1,0,0,0,,,,,,
0,0.000000,gripper_l_palm,gripper_l_palm_body_v,VELOCITY,,,,,,,,0,0,0,0,0,0
0,0.000000,gripper_l_palm,gripper_l_palm_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
0,0.000000,gripper_l_finger1,gripper_l_finger1_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
0,0.000000,gripper_l_finger1,gripper_l_finger1_body_p,POSITION,-0.460000008,0,0.689999998,1,0,0,0,,,,,,
0,0.000000,gripper_l_finger1,gripper_l_finger1_body_v,VELOCITY,,,,,,,,0,0,0,0,0,0
0,0.000000,gripper_l_finger1,gripper_l_finger1_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
0,0.000000,gripper_l_finger2,gripper_l_finger2_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
0,0.000000,gripper_l_finger2,gripper_l_finger2_body_p,POSITION,-0.460000008,0,0.689999998,1,0,0,0,,,,,,
0,0.000000,gripper_l_finger2,gripper_l_finger2_body_v,VELOCITY,,,,,,,,0,0,0,0,0,0
0,0.000000,gripper_l_finger2,gripper_l_finger2_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
0,0.000000,gripper_r_palm,gripper_r_palm_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
0,0.000000,gripper_r_palm,gripper_r_palm_body_p,POSITION,0.460000008,-0,0.709999979,1,0,0,0,,,,,,
0,0.000000,gripper_r_palm,gripper_r_palm_body_v,VELOCITY,,,,,,,,0,0,0,0,0,0
0,0.000000,gripper_r_palm,gripper_r_palm_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
