macro_frame,sim_time_mjc,sim_time_xpbd,t1_utc,t1w_utc,t2_utc,t3_utc,t_force_utc,t4_utc,t_step_utc,t1_next_utc,dt_t1_t1w,dt_t1w_t2,dt_t2_t3,dt_t3_tforce,dt_tforce_t4,dt_t4_tstep,dt_tstep_t1next,dt_t1_t1next,cycle_order_ok,paired,note
0,0.000000,0.000000,1781247300.440411329,1781247301.241489172,1781247301.241817951,1781247301.319979668,1781247301.319985628,1781247301.322596550,1781247301.322619915,1781247301.326196671,0.801078,0.000329,0.078162,0.000006,0.002611,0.000023,0.003577,0.885785,1,1,
1,0.020000,0.020000,1781247301.326196671,1781247301.342849016,1781247301.343310833,1781247301.445095778,1781247301.445102930,1781247301.445814371,1781247301.445836306,1781247301.449353695,0.016652,0.000462,0.101785,0.000007,0.000711,0.000022,0.003517,0.123157,1,1,
2,0.040000,0.040000,1781247301.449353695,1781247301.458248615,1781247301.458608150,1781247301.573903322,1781247301.573909283,1781247301.575144529,1781247301.575155735,1781247301.577297688,0.008895,0.000360,0.115295,0.000006,0.001235,0.000011,0.002142,0.127944,1,1,
3,0.060000,0.060000,1781247301.577297688,1781247301.591634989,1781247301.592019081,1781247301.706022501,1781247301.706029892,1781247301.708034277,1781247301.708047152,1781247301.709995508,0.014337,0.000384,0.114003,0.000007,0.002004,0.000013,0.001948,0.132698,1,1,
4,0.080000,0.080000,1781247301.709995508,1781247301.725090265,1781247301.725505114,1781247301.840248346,1781247301.840254307,1781247301.841272354,1781247301.841285229,1781247301.843123198,0.015095,0.000415,0.114743,0.000006,0.001018,0.000013,0.001838,0.133128,1,1,
5,0.100000,0.100000,1781247301.843123198,1781247301.858605862,1781247301.859052658,1781247301.974020004,1781247301.974027157,1781247301.975274801,1781247301.975296259,1781247301.978638172,0.015483,0.000447,0.114967,0.000007,0.001248,0.000021,0.003342,0.135515,1,1,
6,0.120000,0.120000,1781247301.978638172,1781247301.993470192,1781247301.993965387,1781247302.107645273,1781247302.107651472,1781247302.109748363,1781247302.109767437,1781247302.113162756,0.014832,0.000495,0.113680,0.000006,0.002097,0.000019,0.003395,0.134525,1,1,
7,0.140000,0.140000,1781247302.113162756,1781247302.125460386,1781247302.125958681,1781247302.240058184,1781247302.240066051,1781247302.241020918,1781247302.241034269,1781247302.242877483,0.012298,0.000498,0.114100,0.000008,0.000955,0.000013,0.001843,0.129715,1,1,
8,0.160000,0.160000,1781247302.242877483,1781247302.258901358,1781247302.259421587,1781247302.374301195,1781247302.374306917,1781247302.376085043,1781247302.376100302,1781247302.378105640,0.016024,0.000520,0.114880,0.000006,0.001778,0.000015,0.002005,0.135228,1,1,
9,0.180000,0.180000,1781247302.378105640,1781247302.392354965,1781247302.392911673,1781247302.507346153,1781247302.507353783,1781247302.509400845,1781247302.509412766,1781247302.511257887,0.014249,0.000557,0.114434,0.000008,0.002047,0.000012,0.001845,0.133152,1,1,
10,0.200000,0.200000,1781247302.511257887,1781247302.525812149,1781247302.526383162,1781247302.640041113,1781247302.640047550,1781247302.641876221,1781247302.641895533,1781247302.645452023,0.014554,0.000571,0.113658,0.000006,0.001829,0.000019,0.003556,0.134194,1,1,
11,0.220000,0.220000,1781247302.645452023,1781247302.659196615,1781247302.659823179,1781247302.773457766,1781247302.773465157,1781247302.774801493,1781247302.774818659,1781247302.777722597,0.013745,0.000627,0.113635,0.000007,0.001336,0.000017,0.002904,0.132271,1,1,
12,0.240000,0.240000,1781247302.777722597,1781247302.794035912,1781247302.794969320,1781247302.910499811,1781247302.910505772,1781247302.912757158,1781247302.912780523,1781247302.916271687,0.016313,0.000933,0.115530,0.000006,0.002251,0.000023,0.003491,0.138549,1,1,
13,0.260000,0.260000,1781247302.916271687,1781247302.926091433,1781247302.926749229,1781247303.040169001,1781247303.040177107,1781247303.042014360,1781247303.042033434,1781247303.045314074,0.009820,0.000658,0.113420,0.000008,0.001837,0.000019,0.003281,0.129042,1,1,
14,0.280000,0.280000,1781247303.045314074,1781247303.059485912,1781247303.060186386,1781247303.175223112,1781247303.175229073,1781247303.175768614,1781247303.175791502,1781247303.179291964,0.014172,0.000700,0.115037,0.000006,0.000540,0.000023,0.003500,0.133978,1,1,
15,0.300000,0.300000,1781247303.179291964,1781247303.194285393,1781247303.195007324,1781247303.309849739,1781247303.309857130,1781247303.310518980,1781247303.310536146,1781247303.312691689,0.014993,0.000722,0.114842,0.000007,0.000662,0.000017,0.002156,0.133400,1,1,
16,0.320000,0.320000,1781247303.312691689,1781247303.326402187,1781247303.327148914,1781247303.442532301,1781247303.442538261,1781247303.443468332,1781247303.443480492,1781247303.445434809,0.013710,0.000747,0.115383,0.000006,0.000930,0.000012,0.001954,0.132743,1,1,
17,0.340000,0.340000,1781247303.445434809,1781247303.510286808,1781247303.511058569,1781247303.626435995,1781247303.626442909,1781247303.628091812,1781247303.628111839,1781247303.631656170,0.064852,0.000772,0.115377,0.000007,0.001649,0.000020,0.003544,0.186221,1,1,
18,0.360000,0.360000,1781247303.631656170,1781247303.643317461,1781247303.644136667,1781247303.759116888,1781247303.759122610,1781247303.759856701,1781247303.759876013,1781247303.763260841,0.011661,0.000819,0.114980,0.000006,0.000734,0.000019,0.003385,0.131605,1,1,
19,0.380000,0.380000,1781247303.763260841,1781247303.776793242,1781247303.777635098,1781247303.891646385,1781247303.891653299,1781247303.892804384,1781247303.892827749,1781247303.895302057,0.013532,0.000842,0.114011,0.000007,0.001151,0.000023,0.002474,0.132041,1,1,
20,0.400000,0.400000,1781247303.895302057,1781247303.910288095,1781247303.911147833,1781247304.024315596,1781247304.024322033,1781247304.025268316,1781247304.025286436,1781247304.027904272,0.014986,0.000860,0.113168,0.000006,0.000946,0.000018,0.002618,0.132602,1,1,
21,0.420000,0.420000,1781247304.027904272,1781247304.043940544,1781247304.044818401,1781247304.160397530,1781247304.160405159,1781247304.162813425,1781247304.162831783,1781247304.166278362,0.016036,0.000878,0.115579,0.000008,0.002408,0.000018,0.003447,0.138374,1,1,
22,0.440000,0.440000,1781247304.166278362,1781247304.177185535,1781247304.178118706,1781247304.292822361,1781247304.292829037,1781247304.293696404,1781247304.293711424,1781247304.295714855,0.010907,0.000933,0.114704,0.000007,0.000867,0.000015,0.002003,0.129436,1,1,
23,0.460000,0.460000,1781247304.295714855,1781247304.310553551,1781247304.311504841,1781247304.425070286,1781247304.425077915,1781247304.425983667,1781247304.425995350,1781247304.427855968,0.014839,0.000951,0.113565,0.000008,0.000906,0.000012,0.001861,0.132141,1,1,
