macro_frame,sim_time,body_index,logical_name,com_before_x,com_before_y,com_before_z,com_after_x,com_after_y,com_after_z,target_x,target_y,target_z,com_jump_m,com_to_target_before_m,max_vtx_jump_m,max_vtx_id
0,0.000000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
0,0.000000,1,gripper_l_palm,-0.460000,0.710000,0.000000,-0.460000,0.710000,0.000000,-0.460000,0.710000,0.000000,0.000000,0.000000,0.000000,0
0,0.000000,2,gripper_l_finger1,-0.460000,0.690000,0.000000,-0.460000,0.690000,-0.000000,-0.460000,0.690000,-0.000000,0.000000,0.000000,0.000000,0
0,0.000000,3,gripper_l_finger2,-0.460000,0.690000,0.000000,-0.460000,0.690000,-0.000000,-0.460000,0.690000,-0.000000,0.000000,0.000000,0.000000,0
0,0.000000,4,gripper_r_palm,0.460000,0.710000,0.000000,0.460000,0.710000,0.000000,0.460000,0.710000,0.000000,0.000000,0.000000,0.000000,0
0,0.000000,5,gripper_r_finger1,0.460000,0.690000,0.000000,0.460000,0.690000,-0.000000,0.460000,0.690000,-0.000000,0.000000,0.000000,0.000000,0
0,0.000000,6,gripper_r_finger2,0.460000,0.690000,0.000000,0.460000,0.690000,-0.000000,0.460000,0.690000,-0.000000,0.000000,0.000000,0.000000,0
1,0.020000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
1,0.020000,1,gripper_l_palm,-0.460000,0.707264,0.000000,-0.460000,0.705601,-0.000000,-0.460000,0.705601,-0.000000,0.001663,0.001663,0.001663,0
1,0.020000,2,gripper_l_finger1,-0.460000,0.687264,-0.001205,-0.460000,0.685601,-0.000000,-0.460000,0.685601,-0.000000,0.002053,0.002053,0.004146,2
1,0.020000,3,gripper_l_finger2,-0.460000,0.687264,0.001205,-0.460000,0.685601,-0.000000,-0.460000,0.685601,-0.000000,0.002053,0.002053,0.004146,3
1,0.020000,4,gripper_r_palm,0.460000,0.707264,0.000000,0.460000,0.705601,-0.000000,0.460000,0.705601,-0.000000,0.001663,0.001663,0.001663,0
1,0.020000,5,gripper_r_finger1,0.460000,0.687264,-0.001205,0.460000,0.685601,-0.000000,0.460000,0.685601,-0.000000,0.002053,0.002053,0.004146,2
1,0.020000,6,gripper_r_finger2,0.460000,0.687264,0.001205,0.460000,0.685601,-0.000000,0.460000,0.685601,-0.000000,0.002053,0.002053,0.004146,3
2,0.040000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
2,0.040000,1,gripper_l_palm,-0.460000,0.704766,0.000000,-0.460000,0.706266,-0.000000,-0.460000,0.706266,-0.000000,0.001501,0.001501,0.001501,0
2,0.040000,2,gripper_l_finger1,-0.460000,0.684766,-0.004826,-0.460000,0.686266,-0.000000,-0.460000,0.686266,-0.000000,0.005054,0.005054,0.006814,2
2,0.040000,3,gripper_l_finger2,-0.460000,0.684766,0.004826,-0.460000,0.686266,-0.000000,-0.460000,0.686266,-0.000000,0.005054,0.005054,0.006814,3
2,0.040000,4,gripper_r_palm,0.460000,0.704766,0.000000,0.460000,0.706266,-0.000000,0.460000,0.706266,-0.000000,0.001501,0.001501,0.001501,0
2,0.040000,5,gripper_r_finger1,0.460000,0.684766,-0.004826,0.460000,0.686266,-0.000000,0.460000,0.686266,-0.000000,0.005054,0.005054,0.006814,2
2,0.040000,6,gripper_r_finger2,0.460000,0.684766,0.004826,0.460000,0.686266,-0.000000,0.460000,0.686266,-0.000000,0.005054,0.005054,0.006814,3
3,0.060000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
3,0.060000,1,gripper_l_palm,-0.460000,0.708120,0.000000,-0.460000,0.708096,-0.000000,-0.460000,0.708096,-0.000000,0.000023,0.000023,0.000023,0
